"","obs","pred"
"1",388,667.381
"2",162,399.97
"3",224,464.226
"4",597,779.871
"5",845,933.643
"6",852,922.235
"7",1017,1014.9
"8",540,743.771
"9",34,163.61
"10",17,119.922
"11",19,134.821
"12",1067,1181.7
"13",1707,1588.25
"14",1612,990.906
"15",2035,1099.35
"16",3443,3067.97
"17",3119,2848.98
"18",2913,2706.14
"19",2836,2676.1
"20",2275,2238.3
"21",2464,2436.66
"22",3107,3062.14
"23",4535,4388.25
"24",3699,3615.11
"25",2997,2947.03
"26",3301,3244.46
"27",3020,3001.8
"28",2557,2564.96
"29",2209,2249.05
"30",2437,2480.41
"31",3373,3431.94
"32",3620,3683.7
"33",3069,3111.49
"34",3132,3167.91
"35",2531,2554.3
"36",4010,3966.96
"37",3158,3184.55
"38",3062,3083.83
"39",2781,2820.93
"40",3327,3349.8
"41",2622,2632.47
"42",2913,2906.52
"43",2491,2521.4
"44",2298,2335.46
