"","x"
"1",207.5
"2",350.6
"3",509.4
"4",672
"5",830.1
"6",978.1
"7",1113
"8",1233.4
"9",1339.3
"10",1431.2
"11",1510.4
"12",1577.9
"13",1635.3
"14",1683.8
"15",1724.5
"16",1758.8
"17",1787.4
"18",1811.3
"19",1831.2
"20",1847.7
"21",1861.5
"22",1873
"23",1882.4
"24",1890.3
"25",1896.8
"26",1902.2
"27",1906.7
"28",1910.4
"29",1913.5
"30",1922.1
