year,biomass,se,lci,uci
1990,12987.34171,2212.677498,8650.49381392,17324.18960608
1993,35392.61851,5653.263165,24312.222706599998,46473.0143134
1996,35191.04428,5986.625252999999,23457.258784120004,46924.82977588
1999,33911.8716,6270.224457,21622.23166428,46201.51153572
2001,40392.75746,8355.899298999999,24015.194833960006,56770.320086039996
2003,48716.30544,7989.342435,33057.1942674,64375.41661259999
2005,73180.24959,10893.00383,51829.96208320001,94530.5370968
2007,50734.45043,7990.417956,35073.23123624,66395.66962376
2009,40090.69174,6540.579646,27271.155633840004,52910.22784616
2011,41442.037630000006,7642.710756,26462.324548240005,56421.75071176
2013,59986.03256,10729.85953,38955.5078812,81016.5572388
2015,59471.196280000004,9680.965611,40496.50368244,78445.88887756
2017,61715.97017,10741.06883,40663.4752632,82768.4650768
2019,87687.75853,13575.87989,61079.03394560001,114296.4831144
2021,69870.12973,12121.093130000001,46112.7871952,93627.4722648
2023,58538.174479999994,10557.76542,37844.954256799996,79231.3947032
