age,ages_sd
4,0.236088971585921
5,0.2651373533402509
6,0.2941857350945809
7,0.3232341168489109
8,0.3522824986032408
9,0.3813308803575708
10,0.4103792621119007
11,0.4394276438662307
12,0.4684760256205607
13,0.49752440737489056
14,0.5265727891292206
15,0.5556211708835506
16,0.5846695526378805
17,0.6137179343922105
18,0.6427663161465403
19,0.6718146979008703
20,0.7008630796552002
21,0.7299114614095302
22,0.7589598431638602
23,0.7880082249181901
24,0.8170566066725201
25,0.8461049884268501
26,0.87515337018118
27,0.90420175193551
28,0.93325013368984
29,0.9622985154441699
30,0.9913468971984999
31,1.0203952789528299
32,1.0494436607071598
33,1.0784920424614899
34,1.1075404242158198
35,1.1365888059701497
36,1.1656371877244796
37,1.1946855694788097
38,1.2237339512331395
39,1.2527823329874694
40,1.2818307147417993
41,1.3108790964961294
42,1.3399274782504593
43,1.3689758600047892
44,1.3980242417591193
45,1.4270726235134492
46,1.456121005267779
47,1.4851693870221092
48,1.514217768776439
49,1.543266150530769
50,1.572314532285099
51,1.601362914039429
52,1.6304112957937589
53,1.659459677548089
54,1.6885080593024189
55,1.7175564410567488
56,1.7466048228110789
57,1.7756532045654088
58,1.8047015863197386
59,1.8337499680740685
60,1.8627983498283986
61,1.8918467315827285
62,1.9208951133370584
63,1.9499434950913885
64,1.9789918768457184
65,2.0080402586000483
66,2.0370886403543786
67,2.0661370221087085
68,2.0951854038630384
69,2.1242337856173683
70,2.153282167371698
71,2.182330549126028
72,2.211378930880358
73,2.240427312634688
74,2.269475694389018
75,2.298524076143348
76,2.327572457897678
77,2.356620839652008
78,2.3856692214063377
79,2.4147176031606676
80,2.4437659849149975
81,2.472814366669328
82,2.5018627484236577
83,2.5309111301779876
84,2.5599595119323175
85,2.5890078936866474
86,2.6180562754409773
87,2.6471046571953076
88,2.6761530389496375
89,2.7052014207039674
90,2.7342498024582973
91,2.763298184212627
92,2.792346565966957
93,2.8213949477212874
94,2.8504433294756173
95,2.879491711229947
96,2.908540092984277
97,2.937588474738607
98,2.966636856492937
99,2.9956852382472667
100,3.024733620001597
