"","model_name","variable","year","pred","pred_lci","pred_uci"
"1","db_rema","tot_biomass_pred",1990,32502.3490664291,18613.4770641974,56754.720850516
"2","db_rema","tot_biomass_pred",1991,37921.9141085061,20333.3301517219,70724.8423609122
"3","db_rema","tot_biomass_pred",1992,44245.1579950036,24312.8491759724,80518.4942263984
"4","db_rema","tot_biomass_pred",1993,51622.7635662441,32267.4863718588,82588.0791427394
"5","db_rema","tot_biomass_pred",1994,53968.1739063535,29205.7490603281,99725.7008806776
"6","db_rema","tot_biomass_pred",1995,56420.1447884307,29573.0596514024,107639.614414957
"7","db_rema","tot_biomass_pred",1996,58983.5176463648,32879.979641677,105810.751461937
"8","db_rema","tot_biomass_pred",1997,55525.7637343612,29016.9650388241,106251.995484675
"9","db_rema","tot_biomass_pred",1998,52270.7115701182,27849.5553556979,98106.6754262374
"10","db_rema","tot_biomass_pred",1999,49206.4782956905,29341.7009537274,82520.0117090239
"11","db_rema","tot_biomass_pred",2000,46095.9691308474,26046.6092171408,81578.3103435096
"12","db_rema","tot_biomass_pred",2001,43182.085849418,26186.1180291304,71209.200853374
"13","db_rema","tot_biomass_pred",2002,55074.75834176,31154.7213389171,97360.1713013649
"14","db_rema","tot_biomass_pred",2003,70242.7626349628,41280.6546148608,119524.405526639
"15","db_rema","tot_biomass_pred",2004,89293.9172114778,49878.1733312653,159857.571327141
"16","db_rema","tot_biomass_pred",2005,113512.102199146,66744.8895525381,193048.448084209
"17","db_rema","tot_biomass_pred",2006,99650.4048414381,55645.6328493269,178454.31306264
"18","db_rema","tot_biomass_pred",2007,87481.4490497312,51391.3358281815,148916.228864478
"19","db_rema","tot_biomass_pred",2008,82487.1127515272,46516.848449807,146272.24321581
"20","db_rema","tot_biomass_pred",2009,77777.9042756271,48074.4221242766,125834.115652402
"21","db_rema","tot_biomass_pred",2010,77440.2293016014,43768.5080001885,137016.073617561
"22","db_rema","tot_biomass_pred",2011,77104.0203530381,45445.2339677552,130817.457311803
"23","db_rema","tot_biomass_pred",2012,74107.7056050985,41537.409250542,132217.009417367
"24","db_rema","tot_biomass_pred",2013,71227.8296891111,43292.9814270169,117187.672343004
"25","db_rema","tot_biomass_pred",2014,55148.1505139572,32754.4580249433,92852.0478889941
"26","db_rema","tot_biomass_pred",2015,42698.4581502,27847.0870848204,65470.3424760787
"27","db_rema","tot_biomass_pred",2016,48180.4917734767,28917.681379757,80274.7549863754
"28","db_rema","tot_biomass_pred",2017,54366.3609437192,36777.5149939244,80367.0721839427
"29","db_rema","tot_biomass_pred",2018,66152.4418604737,40615.9237860544,107744.577894001
"30","db_rema","tot_biomass_pred",2019,80493.6267232158,55535.6141347726,116667.908404376
"31","db_rema","tot_biomass_pred",2020,83550.8265966329,48250.6083112093,144676.738165784
"32","db_rema","tot_biomass_pred",2021,86724.1408935949,49388.4978116579,152283.971916165
"33","db_rema","tot_biomass_pred",2022,83379.4891265956,43862.9880483389,158496.707961403
"34","db_rema","tot_biomass_pred",2023,80163.8290720218,42522.0270516967,151127.308293077
