Age,SS,Wbar,SD_Wbar
3,39,103.88549462858307,33.5191644076248
4,72,194.72661629571795,56.915999789237574
5,134,316.3186280341241,87.81740039881298
6,201,493.4319751091033,110.49212496622239
7,285,658.0134703928809,138.51680540550302
8,314,849.9594622173057,199.20199023620842
9,545,1021.4098208930737,238.6075561931817
10,559,1167.8205906067205,242.17036033445024
11,508,1281.1809071000062,252.16032807043536
12,497,1376.5194362146246,260.25150784581683
13,469,1457.8560041782828,249.66126775057202
14,417,1520.3362139834285,249.71510947549098
15,339,1559.123154768859,221.5384312440633
16,270,1618.5504575859838,246.11788337914362
17,203,1656.8775042963935,243.28780648581417
18,211,1690.8308633457914,261.6761529833737
19,190,1764.1399765294232,241.9440301502029
20,154,1754.0020459934863,253.88085471003976
21,150,1817.1038829061029,261.06416759839703
22,121,1845.145883031575,308.4144687495296
23,120,1884.2423236327559,274.1402615753783
24,95,1862.2493858642072,274.4273203187941
25,84,1890.682493180494,341.73745354511436
26,77,1861.7928505953473,265.83780614852924
27,72,1902.7971150481742,266.82540658426984
28,56,1876.3569668459716,276.5344711607608
29,47,1908.2368191746762,331.32389503508205
30,54,1860.2510042201664,296.0169457460535
31,39,1935.2615289430005,296.23705957488096
