"year","biomass","se","lci","uci","pred"
1984,25701,4166,17703,33699,13426.9
1987,81512,15140,52443,110580,17603.1
1990,13146,1582,10108,16184,20837.5
1993,42990,5320,32775,53205,24211.5
1996,49881,6979,36482,63280,31446.9
1999,33952,5063,24230,43673,38731.6
2001,49766,6838,36637,62896,40729.5
2003,61351,7832,46314,76389,44542.4
2005,125885,17020,93207,158563,48997.8
2007,76491,12646,52211,100771,53615.1
2009,46428,5959,34987,57869,55191.3
2011,45621,5944,34208,57034,55114.7
2013,80669,11565,58464,102875,53557.3
2015,58145,9371,40152,76138,53302.3
2017,48902,4967,39365,58439,55509.6
2019,89965,10543,69722,110208,58973
