"","obs","pred"
"1",388,655.615
"2",162,392.91
"3",224,459.2
"4",597,780.395
"5",845,941.923
"6",853,934.933
"7",1017,1033.07
"8",510,728.233
"9",34,165.73
"10",17,121.766
"11",19,137.276
"12",1067,1209.47
"13",1707,1625.47
"14",1612,1002.65
"15",2187.16,1139.31
"16",3531.91,3140.01
"17",3181.94,2899.67
"18",2979.62,2759.87
"19",2881.88,2712.02
"20",2290.33,2248.93
"21",2466.62,2435.23
"22",3109.15,3059.03
"23",4658.44,4500.14
"24",3728.36,3641.3
"25",3006.01,2956.38
"26",3320.8,3263.98
"27",3055.77,3037.03
"28",2688.43,2692.61
"29",2236.41,2276.26
"30",2452.87,2496.17
"31",3384.59,3443.63
"32",3644.08,3707.63
"33",3074.69,3119.47
"34",3141.97,3180.33
"35",2540.38,2566.67
"36",4009.7,3973.66
"37",3155.08,3185.67
"38",3060.13,3085.85
"39",2778.49,2821.29
"40",3320.8,3347.21
"41",2619.26,2632.7
"42",2907.11,2903.97
"43",2488.66,2520.61
"44",2197.5,2238.38
