Year,Catch
1977,388
1978,162
1979,224
1980,597
1981,845
1982,852
1983,1017
1984,540
1985,34
1986,17
1987,19
1988,1067
1989,1707
1990,1612
1991,2187
1992,3532
1993,3182
1994,2980
1995,2882
1996,2290
1997,2467
1998,3109
1999,4658
2000,3728
2001,3006
2002,3321
2003,3056
2004,2688
2005,2236
2006,2453
2007,3385
2008,3644
2009,3075
2010,3142
2011,2540
2012,4010
2013,3155
2014,3060
2015,2778
2016,3321
2017,2619
2018,2907
2019,2489
2020,2198
2021,2927
