Age,SS,Wbar,SD_Wbar
3,39,101.41752986241755,32.19122854146545
4,72,194.25694205753356,59.28769076924698
5,128,310.11145931123207,81.43308284146669
6,195,487.01073271023597,120.95580578636672
7,273,649.6012863448599,138.02034055440402
8,302,838.8627015948865,199.99633396174596
9,514,1010.5568636319771,231.25654653789013
10,512,1153.622264262652,230.25438848163714
11,462,1261.830296482771,246.88720266572457
12,451,1357.150576294621,260.16547870499335
13,430,1450.4177792156765,260.1758698449198
14,373,1518.7778609614188,260.16441714798907
15,316,1554.189057351291,237.486777289945
16,248,1610.422654335715,269.1615466237562
17,190,1666.523485970132,258.025587587177
18,194,1696.010429050873,282.4393059308815
19,175,1768.4375452829079,259.2689611964826
20,142,1770.457037846296,276.9116214130834
21,132,1838.8370363921504,276.27610692551417
22,97,1850.5040636560652,348.63729233194186
23,100,1931.5536770236527,279.5904339378722
24,75,1902.4475011934921,286.60540869301434
25,70,1896.0945249831382,362.1320523289003
26,67,1876.1647573409964,284.6992737227191
27,58,1944.983567682046,287.80036512066033
28,51,1904.1767359539103,289.0916347963663
29,44,1936.1632902025838,346.1912236424592
30,48,1898.1336796433736,319.83095584797246
31,35,1958.4375794492757,305.32068064771977
