year,n_s,n_h,SA_Index,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
1991,2012,42,1,0,0,0,0,0,0,0,0,4.970178926441351e-4,0.002485089463220676,0.002485089463220676,0.002982107355864811,0.0044731610337972166,0.007455268389662028,0.02485089463220676,0.029324055666003976,0.018886679920477135,0.02385685884691849,0.06858846918489066,0.08399602385685885,0.13369781312127235,0.14463220675944333,0.139662027833002,0.13568588469184892,0.08548707753479125,0.05666003976143141,0.03429423459244533
1992,5495,127,1,0,1.8198362147406734e-4,1.8198362147406734e-4,7.279344858962694e-4,0.001091901728844404,0.002001819836214741,0.002183803457688808,0.0018198362147406734,0.003275705186533212,0.005095541401273885,0.011464968152866241,0.012374886260236579,0.015468607825295723,0.01856232939035487,0.01856232939035487,0.014558689717925387,0.016560509554140127,0.0267515923566879,0.0362147406733394,0.1075523202911738,0.11737943585077343,0.12484076433121019,0.11355777979981801,0.11665150136487716,0.1002729754322111,0.072975432211101,0.05969062784349408
1993,3659,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.465974309920743e-4,0.0010931948619841486,0.006285870456408855,0.019677507515714676,0.045640885487838206,0.10330691445750205,0.1453949166438918,0.20005465974309922,0.19677507515714676,0.15058759223831647,0.13063678600710577
1994,2117,38,1,0,0,0,0,0,0,0,0.001889466225791214,4.723665564478035e-4,0.001889466225791214,4.723665564478035e-4,0,0.0023618327822390174,0.0014170996693434106,0.003778932451582428,0.003778932451582428,0.0033065658951346244,0.008502598016060462,0.004251299008030231,0.01889466225791214,0.0406235238545111,0.07416154936230515,0.07605101558809636,0.14596126594237127,0.17052432687765706,0.1757203589985829,0.2659423712801134
1995,1794,26,1,0,0,0,0,0,0,0,0,0,0,5.574136008918618e-4,0,0,0.0011148272017837235,0.002229654403567447,0.005016722408026756,0.0039018952062430325,0.006688963210702341,0.01950947603121516,0.028428093645484948,0.044593088071348944,0.059085841694537344,0.08416945373467112,0.09754738015607581,0.12430323299888517,0.12597547380156077,0.39687848383500557
1996,515,12,1,0,0,0,0,0,0,0.001941747572815534,0.001941747572815534,0.007766990291262136,0.011650485436893204,0.005825242718446602,0.003883495145631068,0.013592233009708738,0.007766990291262136,0.003883495145631068,0.009708737864077669,0.007766990291262136,0.001941747572815534,0.009708737864077669,0.03300970873786408,0.05242718446601942,0.08155339805825243,0.09320388349514563,0.1203883495145631,0.12815533980582525,0.1262135922330097,0.27766990291262134
1997,3090,53,1,0,0,0,0,0,0,0,0,3.2362459546925567e-4,0,6.472491909385113e-4,0.0012944983818770227,0.0035598705501618125,0.008414239482200648,0.019093851132686083,0.025889967637540454,0.04174757281553398,0.040776699029126215,0.03398058252427184,0.04110032362459547,0.06019417475728155,0.0883495145631068,0.10614886731391586,0.11229773462783171,0.11941747572815534,0.09741100323624595,0.19935275080906148
1998,2565,34,1,0,0,0,0,0,0,0,0,0,3.898635477582846e-4,0,0,7.797270955165692e-4,7.797270955165692e-4,0,7.797270955165692e-4,0.0031189083820662767,0.005847953216374269,0.011695906432748537,0.026900584795321637,0.058869395711500974,0.09941520467836257,0.14736842105263157,0.1695906432748538,0.16335282651072125,0.12631578947368421,0.1847953216374269
1999,1684,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017814726840855108,0.0023752969121140144,0.0011876484560570072,0.0035629453681710215,0.0059382422802850355,0.011282660332541567,0.027909738717339667,0.07897862232779097,0.11579572446555819,0.16448931116389548,0.18171021377672208,0.14786223277909738,0.25712589073634207
