"","x"
"1",203.9
"2",343.6
"3",499.4
"4",660
"5",817.2
"6",965.5
"7",1101.6
"8",1224.1
"9",1332.5
"10",1427.5
"11",1509.8
"12",1580.5
"13",1641
"14",1692.5
"15",1736.1
"16",1772.9
"17",1803.9
"18",1830
"19",1851.8
"20",1870.1
"21",1885.4
"22",1898.2
"23",1908.9
"24",1917.8
"25",1943.7
