age	sample_size	Lbar	SD_Lbar
2	3	12.5	0.7071067811865476
3	39	17.749056833394185	2.176348745445631
4	72	21.372582954861528	3.4537605749167155
5	128	25.63425013099738	3.0422316435663186
6	195	29.60810998368592	2.959730140303996
7	273	32.472385278796324	3.5445591482975374
8	302	34.93458325613352	4.067254258455869
9	514	37.21884682397824	3.653304826821192
10	512	38.93699707838175	4.961312871431093
11	462	40.666349271609526	5.988447652443463
12	451	41.98211851010696	7.586884852881922
13	430	43.68797292921007	11.926451877162643
34	17	54.555773652299685	5.8899667542685386
