length,Wbar,SD_Wbar
120,22,0
150,47.5,3.415650255319866
160,52,6
170,75.2,2.280350850198276
180,88.5,6.3796551630946325
190,107.26666666666667,13.619663655730934
200,123.63636363636364,17.060320789907365
210,141.9090909090909,11.70003884997435
220,169,12.819256348686274
230,190.9375,19.097883826923514
240,224.3913043478261,14.56876837133831
250,245.65625,21.160842374536983
260,283.2,22.733494335580755
270,318.48387096774195,26.17488741490201
280,362.8857142857143,29.32352140454869
290,397.60714285714283,29.324937306871572
300,447.66037735849056,42.020115785467475
310,480.0149253731343,38.91307038239537
320,542.0454545454545,39.27881740000248
330,606.6836734693877,51.938225983617
340,663.0412371134021,59.964037403988584
350,728.0575539568346,57.24442505406634
360,802.0068027210884,62.514600661539646
370,868.8034682080925,66.12898416005748
380,939.8552036199095,74.57148390259927
390,1032.3065134099618,85.37121382363034
400,1109.3578595317726,83.96561115007563
410,1194.9691011235955,101.04965534521594
420,1290.2706422018348,102.43652437945633
430,1366.420091324201,112.12714162200497
440,1469.3348416289593,118.2450704982681
450,1576.7521367521367,133.09074400962223
460,1674.988038277512,137.535841765858
470,1788.7542372881355,146.94112076155906
480,1918.1723076923076,171.83497997171688
490,2023.4955357142858,191.62943026843033
500,2147.0844155844156,187.20171746945175
510,2275.131868131868,226.7984033253227
520,2396.68,256.56016838160986
530,2554.5185185185187,176.09926623058817
540,2571.5,124.2888341151943
