"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"1977",28040,28778,29762,28146,28785,27976,28211,29382,29584,30718
"1978",27416,28105,29081,27402,28065,27212,27437,28577,28767,29881
"1979",27262,27915,28884,27152,27829,26938,27155,28269,28449,29544
"1980",27942,28519,29501,27642,28386,27388,27590,28663,28824,29882
"1981",29043,29527,30545,28485,29328,28155,28343,29380,29519,30526
"1982",30841,31164,32234,29909,30894,29456,29623,30621,30728,31632
"1983",32584,32768,33895,31332,32449,30761,30912,31884,31964,32763
"1984",34817,34793,35990,33157,34436,32414,32546,33486,33534,34164
"1985",37170,36976,38236,35186,36591,34277,34394,35317,35342,35813
"1986",39842,39507,40821,37594,39099,36538,36643,37559,37566,37899
"1987",42095,41647,43008,39639,41222,38460,38555,39470,39465,39685
"1988",45462,44889,46341,42733,44460,41431,41515,42450,42426,42551
"1989",47633,46945,48501,44647,46539,43250,43327,44287,44242,44291
"1990",52238,51400,53175,48806,51012,47278,47349,48407,48332,48350
"1991",57412,56460,58478,53554,56088,51913,51981,53166,53065,53093
"1992",62901,61825,64117,58557,61459,56802,56868,58201,58071,58133
"1993",65221,64055,66571,60503,63696,58647,58712,60171,60022,60118
"1994",68265,66975,69754,63111,66644,61141,61205,62809,62638,62768
"1995",70813,69423,72451,65280,69137,63222,63288,65023,64831,64991
"1996",75680,73988,77423,69401,73786,67203,67275,69161,68939,69114
"1997",78904,76982,80717,72073,76844,69780,69857,71855,71611,71800
"1998",82670,80416,84527,75107,80365,72710,72794,74891,74621,74786
"1999",88141,85357,90043,79452,85452,76879,76976,79226,78916,79077
"2000",89425,86297,91381,80007,86513,77329,77438,79797,79462,79637
"2001",92842,89362,94988,82579,89786,79792,79915,82367,81996,82210
"2002",97953,94024,100320,86665,94730,83785,83927,86481,86066,86293
"2003",101270,97002,103880,89188,97998,86302,86462,89136,88683,88955
"2004",104640,100080,107570,91876,101480,89065,89245,92130,91635,92000
"2005",107670,102990,111100,94567,105000,91882,92084,95158,94619,95104
"2006",109440,104690,113270,96202,107280,93802,94021,97321,96747,97343
"2007",109690,105000,113960,96709,108340,94655,94893,98515,97908,98595
"2008",108190,103790,113120,95856,108060,94140,94396,98209,97571,98256
"2009",105410,101500,111150,94255,107020,93057,93334,97370,96700,97300
"2010",102330,99449,109480,93270,106750,92583,92884,97036,96329,96782
"2011",98596,96635,106970,92947,107610,93347,93689,97686,96925,97051
"2012",95013,93832,104380,92822,108850,95337,95733,99132,98308,97987
"2013",89690,89211,99900,90647,107810,95777,96230,99054,98164,97432
"2014",85064,85208,95976,90513,110420,100650,101250,102300,101280,99738
"2015",80486,81054,91802,89125,110770,102940,103640,103510,102410,100670
"2016",NA,77119,87777,87538,110680,104710,105500,104840,103630,101960
"2017",NA,NA,83167,84913,109170,104960,105840,104630,103350,102330
"2018",NA,NA,NA,82560,107550,104850,105810,104700,103330,102980
"2019",NA,NA,NA,NA,104910,103400,104410,103310,101880,102110
"2020",NA,NA,NA,NA,NA,101490,102540,101590,100120,100830
"2021",NA,NA,NA,NA,NA,NA,100220,99411,97933,99009
"2022",NA,NA,NA,NA,NA,NA,NA,96009,94536,95842
"2023",NA,NA,NA,NA,NA,NA,NA,NA,91124,92559
"2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,88135
