"Likelihood","LL"
"Catch",27.6549
"Trawl survey",-13.3159
"Fishery ages",48.1366
"Survey ages",139.001
"Fishery lengths",49.7154
"Recruitment devs",28.598
"Maturity",65
"Data LL",251.192
"Total LL",380.46
