"Parameter","Estimates","model_name"
"sigmaR",0.898654,"m22.5a"
"q",0.756649,"m22.5a"
"avg rec",2.83771740961221,"m22.5a"
"F40",0.09,"m22.5a"
"Total Biomass",85862,"m22.5a"
"SSB",35972,"m22.5a"
"B100",59467,"m22.5a"
"B40",23786.8,"m22.5a"
"ABC",6338,"m22.5a"
