"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"1977",11510,11846,12278,11639,11917,11594,11702,12224,12315,12797
"1978",11053,11368,11792,11133,11414,11079,11183,11691,11778,12250
"1979",10787,11085,11501,10830,11110,10768,10869,11362,11445,11909
"1980",10555,10836,11245,10559,10841,10490,10586,11065,11143,11598
"1981",10244,10502,10908,10194,10491,10118,10210,10674,10746,11192
"1982",9951.8,10182,10589,9838.1,10156,9754.7,9841.6,10291,10354,10790
"1983",9786.3,9988.4,10398,9605.2,9947.1,9511.6,9593.2,10028,10083,10507
"1984",9761.7,9929.8,10346,9498.1,9872.2,9388.8,9464.5,9884.3,9930.4,10337
"1985",10149,10283,10709,9800.4,10206,9665.6,9735.9,10142,10180,10565
"1986",11080,11175,11616,10635,11074,10461,10526,10919,10951,11305
"1987",12321,12364,12826,11755,12238,11527,11584,11966,11989,12302
"1988",13762,13743,14231,13056,13591,12760,12811,13183,13197,13455
"1989",14851,14753,15273,13986,14585,13617,13661,14024,14026,14216
"1990",15740,15562,16116,14719,15384,14278,14315,14674,14665,14785
"1991",16604,16357,16944,15461,16181,14960,14993,15353,15336,15393
"1992",17348,17045,17666,16101,16877,15552,15583,15949,15924,15934
"1993",17345,16999,17663,16000,16835,15406,15433,15819,15788,15768
"1994",17811,17431,18154,16360,17274,15728,15754,16171,16134,16105
"1995",18859,18446,19252,17274,18296,16603,16628,17093,17048,17027
"1996",20467,20015,20930,18709,19871,17993,18017,18544,18490,18489
"1997",22613,22113,23156,20649,21977,19880,19905,20502,20438,20460
"1998",24694,24137,25318,22506,24010,21681,21707,22377,22302,22348
"1999",26276,25653,26971,23857,25538,22979,23007,23747,23661,23728
"2000",26915,26214,27667,24267,26119,23341,23371,24175,24080,24164
"2001",27858,27053,28652,24950,26990,23979,24012,24872,24767,24859
"2002",29235,28292,30056,26025,28277,25009,25045,25955,25839,25932
"2003",30642,29532,31482,27083,29574,26021,26062,27016,26888,26976
"2004",32313,31015,33173,28366,31127,27256,27303,28300,28157,28241
"2005",34246,32753,35143,29892,32952,28738,28791,29830,29673,29756
"2006",36377,34700,37341,31625,35010,30437,30498,31583,31409,31501
"2007",38296,36463,39367,33190,36914,31989,32057,33195,33003,33116
"2008",39579,37627,40798,34184,38256,33003,33081,34281,34072,34218
"2009",40401,38374,41803,34813,39225,33690,33777,35057,34829,35017
"2010",40992,38947,42610,35349,40078,34328,34424,35799,35554,35785
"2011",40964,38971,42830,35447,40461,34577,34682,36163,35903,36173
"2012",40600,38739,42751,35420,40687,34754,34868,36450,36175,36465
"2013",39020,37380,41510,34420,39926,34019,34142,35809,35521,35799
"2014",37395,36065,40292,33656,39438,33613,33748,35447,35145,35359
"2015",35538,34605,38917,32971,39106,33424,33573,35225,34905,35002
"2016",NA,33158,37550,32560,39176,33736,33906,35400,35057,34985
"2017",NA,NA,35832,32066,39311,34290,34488,35685,35312,35036
"2018",NA,NA,NA,31957,39959,35601,35836,36595,36184,35692
"2019",NA,NA,NA,NA,40486,37038,37319,37539,37084,36408
"2020",NA,NA,NA,NA,NA,38591,38923,38597,38096,37324
"2021",NA,NA,NA,NA,NA,NA,40223,39469,38923,38205
"2022",NA,NA,NA,NA,NA,NA,NA,39487,38904,38412
"2023",NA,NA,NA,NA,NA,NA,NA,NA,38474,38339
"2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,37407
