"Likelihood","LL","model_name"
"Catch",27.6549,"m22.5a"
"Trawl survey",-13.3159,"m22.5a"
"Fishery ages",48.1366,"m22.5a"
"Survey ages",139.001,"m22.5a"
"Fishery lengths",49.7154,"m22.5a"
"Recruitment devs",28.598,"m22.5a"
"sigmaR",0.656187,"m22.5a"
"q prior",0.194401,"m22.5a"
"Data LL",251.192,"m22.5a"
"Total LL",380.46,"m22.5a"
