"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"1977",1.7265,1.7403,1.7817,1.6566,1.6969,1.6276,1.6307,1.6684,1.6709,1.719
"1978",1.8503,1.861,1.9067,1.7711,1.8146,1.7348,1.7386,1.7766,1.7797,1.8214
"1979",2.3531,2.3713,2.4358,2.2678,2.3258,2.2214,2.2282,2.2771,2.282,2.3256
"1980",6.0054,5.8315,5.9653,5.4879,5.7608,5.3634,5.339,5.3074,5.2687,5.2211
"1981",6.8133,6.72,6.8785,6.3418,6.549,6.0924,6.0875,6.1223,6.1096,6.0549
"1982",7.8101,7.466,7.6165,7.0415,7.3203,6.6795,6.6484,6.6654,6.6219,6.386
"1983",4.1509,4.0886,4.2161,3.9689,4.0944,3.8029,3.8116,3.8982,3.9004,3.7985
"1984",6.2198,5.8369,5.9927,5.5968,5.8438,5.2171,5.2032,5.2262,5.1973,4.8555
"1985",3.7847,3.6747,3.7869,3.5552,3.6798,3.353,3.358,3.4331,3.4317,3.3036
"1986",3.3131,3.2591,3.3536,3.1343,3.2601,3.0535,3.0503,3.1203,3.1104,3.0937
"1987",2.2551,2.2668,2.3433,2.1806,2.2427,2.1399,2.1496,2.2226,2.2296,2.2704
"1988",9.6228,9.4536,9.7792,9.0203,9.4737,8.8566,8.8483,8.9938,8.9551,8.9781
"1989",6.0505,6.0211,6.2541,5.7733,6.0692,5.6685,5.6734,5.8135,5.7995,5.8406
"1990",18.94,18.649,19.387,17.689,18.632,17.311,17.316,17.759,17.704,17.846
"1991",13.174,13.037,13.596,12.272,12.969,12.01,12.018,12.376,12.339,12.478
"1992",11.601,11.382,11.901,10.632,11.304,10.38,10.382,10.698,10.656,10.773
"1993",3.0975,3.0588,3.2053,2.9224,3.0939,2.86,2.8691,2.9738,2.9729,3.0219
"1994",8.4516,8.1655,8.6085,7.679,8.2532,7.4535,7.4573,7.7025,7.667,7.6854
"1995",6.1154,6.006,6.3547,5.6723,6.1224,5.5696,5.5795,5.7555,5.734,5.7432
"1996",19.299,18.192,19.338,16.933,18.422,16.521,16.542,16.865,16.783,16.754
"1997",3.6584,3.4214,3.6412,3.1612,3.4174,3.0661,3.0756,3.1562,3.1491,3.156
"1998",11,10.287,11.027,9.4518,10.419,9.2422,9.2589,9.3858,9.3338,9.1947
"1999",22.217,20.766,22.371,19.092,21.157,18.524,18.56,19.027,18.917,18.978
"2000",2.5365,2.5773,2.7606,2.4681,2.6777,2.4196,2.4325,2.578,2.5763,2.695
"2001",13.177,12.895,14.034,11.905,13.404,11.734,11.762,11.89,11.809,11.999
"2002",17.045,16.11,17.654,14.786,16.73,14.595,14.64,14.9,14.802,14.767
"2003",6.9558,6.7012,7.3804,6.2273,7.1127,6.4094,6.4308,6.7916,6.7432,6.8976
"2004",9.0383,8.8318,9.8056,8.3991,9.6824,8.7101,8.7427,9.4771,9.4051,9.7252
"2005",7.9859,8.3129,9.3153,8.4045,9.832,8.6461,8.6808,9.0339,8.9588,9.2462
"2006",2.7681,2.7888,3.132,3.0086,3.5091,3.754,3.7726,4.2516,4.2183,4.3389
"2007",2.2303,2.5089,2.8338,3.334,3.9644,3.8899,3.9108,4.7761,4.732,4.744
"2008",3.8406,4.7577,5.5372,5.4429,6.6302,5.6182,5.65,5.6006,5.545,5.1824
"2009",2.7088,3.8776,4.5493,5.3974,6.6786,6.4171,6.4588,6.8448,6.7711,6.3204
"2010",2.0492,4.9992,6.1752,7.2487,9.2898,7.7824,7.839,7.7703,7.6787,7.2642
"2011",2.3403,3.0664,3.7229,10.841,14.776,14.043,14.164,13.12,12.951,11.971
"2012",2.404,2.2108,2.6184,6.5567,9.8495,13.129,13.267,10.967,10.807,9.8142
"2013",2.182,2.1384,2.4669,3.3902,4.5906,8.9629,9.0573,8.4082,8.2827,7.9589
"2014",2.4805,2.6182,2.9729,11.097,20.35,25.641,26.13,20.176,19.774,17.536
"2015",2.4539,2.1102,2.292,1.9393,2.3172,2.8443,2.8967,3.0989,3.067,4.8382
"2016",NA,2.5069,2.6702,2.3231,2.7435,2.9393,2.9996,5.837,5.6776,7.3761
"2017",NA,NA,2.6451,2.2772,2.538,2.9865,3.0394,3.4708,3.4097,6.538
"2018",NA,NA,NA,2.5476,2.7428,2.8766,2.9166,5.4096,5.2463,6.3016
"2019",NA,NA,NA,NA,2.708,2.4329,2.4636,2.3286,2.3174,2.1894
"2020",NA,NA,NA,NA,NA,2.6126,2.6368,2.7991,2.7802,2.4046
"2021",NA,NA,NA,NA,NA,NA,2.6342,2.3997,2.4038,2.0612
"2022",NA,NA,NA,NA,NA,NA,NA,2.7484,2.7522,2.3935
"2023",NA,NA,NA,NA,NA,NA,NA,NA,2.7545,2.5297
"2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.838
