"","year","age","value","groups","Age","Year","eff_N","N_tmp"
"1",2000,4,0,"obs","4","2000",121.37,43.4889
"2",2000,5,0,"obs","5","2000",121.37,43.4889
"3",2000,6,0.00243309,"obs","6","2000",121.37,43.4889
"4",2000,7,0,"obs","7","2000",121.37,43.4889
"5",2000,8,0.0121655,"obs","8","2000",121.37,43.4889
"6",2000,9,0.00729927,"obs","9","2000",121.37,43.4889
"7",2000,10,0.0340633,"obs","10","2000",121.37,43.4889
"8",2000,11,0.0486618,"obs","11","2000",121.37,43.4889
"9",2000,12,0.141119,"obs","12","2000",121.37,43.4889
"10",2000,13,0.206813,"obs","13","2000",121.37,43.4889
"11",2000,14,0.211679,"obs","14","2000",121.37,43.4889
"12",2000,15,0.0997567,"obs","15","2000",121.37,43.4889
"13",2000,16,0.0510949,"obs","16","2000",121.37,43.4889
"14",2000,17,0.026764,"obs","17","2000",121.37,43.4889
"15",2000,18,0.0145985,"obs","18","2000",121.37,43.4889
"16",2000,19,0.0145985,"obs","19","2000",121.37,43.4889
"17",2000,20,0.0121655,"obs","20","2000",121.37,43.4889
"18",2000,21,0.0291971,"obs","21","2000",121.37,43.4889
"19",2000,22,0.0218978,"obs","22","2000",121.37,43.4889
"20",2000,23,0.0194647,"obs","23","2000",121.37,43.4889
"21",2000,24,0.0145985,"obs","24","2000",121.37,43.4889
"22",2000,25,0.00729927,"obs","25","2000",121.37,43.4889
"23",2000,26,0.00729927,"obs","26","2000",121.37,43.4889
"24",2000,27,0.00486618,"obs","27","2000",121.37,43.4889
"25",2000,28,0.00486618,"obs","28","2000",121.37,43.4889
"26",2000,29,0.00243309,"obs","29","2000",121.37,43.4889
"27",2000,30,0.00486618,"obs","30","2000",121.37,43.4889
"28",2001,4,0,"obs","4","2001",211.614,54.9062
"29",2001,5,0,"obs","5","2001",211.614,54.9062
"30",2001,6,0.00193424,"obs","6","2001",211.614,54.9062
"31",2001,7,0.00386847,"obs","7","2001",211.614,54.9062
"32",2001,8,0.00386847,"obs","8","2001",211.614,54.9062
"33",2001,9,0.0425532,"obs","9","2001",211.614,54.9062
"34",2001,10,0.0348162,"obs","10","2001",211.614,54.9062
"35",2001,11,0.0676983,"obs","11","2001",211.614,54.9062
"36",2001,12,0.0773694,"obs","12","2001",211.614,54.9062
"37",2001,13,0.131528,"obs","13","2001",211.614,54.9062
"38",2001,14,0.170213,"obs","14","2001",211.614,54.9062
"39",2001,15,0.160542,"obs","15","2001",211.614,54.9062
"40",2001,16,0.0889749,"obs","16","2001",211.614,54.9062
"41",2001,17,0.0599613,"obs","17","2001",211.614,54.9062
"42",2001,18,0.0309478,"obs","18","2001",211.614,54.9062
