"index","name","value","std_dev"
"1","log_mean_rec","1.0431e+00","1.2895e-01"
"2","sigr","8.9865e-01","9.9121e-02"
"3","a50","1.0062e+01","1.4726e-01"
"4","delta","2.4658e+00","1.8636e-01"
"5","a50_mat","1.0337e+01","2.5777e-01"
"6","delta_mat","6.5956e-01","5.2437e-02"
"7","a50_srv1","9.2193e+00","3.1859e-01"
"8","delta_srv1","4.6870e+00","4.4561e-01"
"9","log_avg_F","-3.1588e+00","1.2457e-01"
"10","log_F_devs","-3.6834e-01","3.8379e-01"
"11","log_F_devs","-8.3867e-01","3.7386e-01"
"12","log_F_devs","-6.5486e-01","3.7485e-01"
"13","log_F_devs","-9.4822e-02","3.8430e-01"
"14","log_F_devs","1.3035e-01","3.9015e-01"
"15","log_F_devs","1.5914e-01","3.9071e-01"
"16","log_F_devs","2.8898e-01","3.9534e-01"
"17","log_F_devs","-1.1404e-01","3.8163e-01"
"18","log_F_devs","-1.5851e+00","3.6317e-01"
"19","log_F_devs","-1.9847e+00","3.6028e-01"
"20","log_F_devs","-1.9889e+00","3.5865e-01"
"21","log_F_devs","-1.2247e-02","3.5808e-01"
"22","log_F_devs","1.9070e-01","3.5672e-01"
"23","log_F_devs","-2.0652e-02","3.3336e-01"
"24","log_F_devs","9.2432e-02","3.2945e-01"
"25","log_F_devs","9.5938e-01","1.3049e-01"
"26","log_F_devs","8.9698e-01","1.3085e-01"
"27","log_F_devs","8.2845e-01","1.3003e-01"
"28","log_F_devs","7.3394e-01","1.2940e-01"
"29","log_F_devs","4.0481e-01","1.2981e-01"
"30","log_F_devs","3.4418e-01","1.2949e-01"
"31","log_F_devs","4.7473e-01","1.2886e-01"
"32","log_F_devs","8.2931e-01","1.2808e-01"
"33","log_F_devs","6.1037e-01","1.2772e-01"
"34","log_F_devs","3.6870e-01","1.2733e-01"
"35","log_F_devs","4.2514e-01","1.2703e-01"
"36","log_F_devs","3.0173e-01","1.2689e-01"
"37","log_F_devs","1.3470e-01","1.2681e-01"
"38","log_F_devs","-9.2852e-02","1.2722e-01"
"39","log_F_devs","-6.0935e-02","1.2704e-01"
"40","log_F_devs","2.0846e-01","1.2691e-01"
"41","log_F_devs","2.4612e-01","1.2688e-01"
"42","log_F_devs","4.3710e-02","1.2672e-01"
"43","log_F_devs","4.1421e-02","1.2667e-01"
"44","log_F_devs","-1.8191e-01","1.2670e-01"
"45","log_F_devs","2.5936e-01","1.2650e-01"
"46","log_F_devs","5.8810e-02","1.2742e-01"
"47","log_F_devs","5.0447e-02","1.2787e-01"
"48","log_F_devs","-2.3860e-02","1.2878e-01"
"49","log_F_devs","1.5085e-01","1.2927e-01"
"50","log_F_devs","-8.8683e-02","1.3026e-01"
"51","log_F_devs","-1.5685e-02","1.3092e-01"
"52","log_F_devs","-1.8737e-01","1.3267e-01"
"53","log_F_devs","-3.4284e-01","1.3368e-01"
"54","log_F_devs","-8.8114e-02","1.3575e-01"
"55","log_F_devs","-2.1577e-01","1.3731e-01"
"56","log_F_devs","8.1463e-02","1.4021e-01"
"57","log_F_devs","-3.5434e-01","1.4226e-01"
"58","log_rec_dev","-5.0359e-01","7.3464e-01"
"59","log_rec_dev","-5.2719e-01","7.2908e-01"
"60","log_rec_dev","-5.5147e-01","7.2349e-01"
"61","log_rec_dev","-5.7647e-01","7.1788e-01"
"62","log_rec_dev","-6.0214e-01","7.1226e-01"
"63","log_rec_dev","-6.2846e-01","7.0664e-01"
"64","log_rec_dev","-6.5540e-01","7.0104e-01"
"65","log_rec_dev","-6.8292e-01","6.9545e-01"
"66","log_rec_dev","-7.1083e-01","6.8993e-01"
"67","log_rec_dev","-7.3919e-01","6.8445e-01"
"68","log_rec_dev","-7.6796e-01","6.7904e-01"
"69","log_rec_dev","-7.9721e-01","6.7366e-01"
"70","log_rec_dev","-8.2678e-01","6.6837e-01"
"71","log_rec_dev","-8.5611e-01","6.6324e-01"
"72","log_rec_dev","-8.8576e-01","6.5818e-01"
"73","log_rec_dev","-9.1567e-01","6.5317e-01"
"74","log_rec_dev","-9.4640e-01","6.4810e-01"
"75","log_rec_dev","-9.7600e-01","6.4349e-01"
"76","log_rec_dev","-9.9953e-01","6.3894e-01"
"77","log_rec_dev","-1.0085e+00","6.3350e-01"
"78","log_rec_dev","-9.9657e-01","6.3076e-01"
"79","log_rec_dev","-9.3672e-01","6.3497e-01"
"80","log_rec_dev","-8.0823e-01","6.3145e-01"
"81","log_rec_dev","-7.1340e-01","6.4030e-01"
"82","log_rec_dev","-6.1429e-01","6.3956e-01"
"83","log_rec_dev","-5.5424e-01","6.3703e-01"
"84","log_rec_dev","-5.6804e-01","6.3612e-01"
"85","log_rec_dev","-5.2579e-01","6.2373e-01"
"86","log_rec_dev","-5.0134e-01","6.2287e-01"
"87","log_rec_dev","-4.4347e-01","6.2526e-01"
"88","log_rec_dev","-1.9912e-01","6.6093e-01"
"89","log_rec_dev","6.0962e-01","5.6558e-01"
"90","log_rec_dev","7.5777e-01","6.2930e-01"
"91","log_rec_dev","8.1101e-01","5.5920e-01"
"92","log_rec_dev","2.9151e-01","6.6112e-01"
"93","log_rec_dev","5.3702e-01","4.9055e-01"
"94","log_rec_dev","1.5193e-01","5.7568e-01"
"95","log_rec_dev","8.6264e-02","5.0409e-01"
"96","log_rec_dev","-2.2313e-01","5.6491e-01"
"97","log_rec_dev","1.1517e+00","2.5212e-01"
"98","log_rec_dev","7.2174e-01","3.6069e-01"
"99","log_rec_dev","1.8387e+00","1.8929e-01"
"100","log_rec_dev","1.4809e+00","2.2677e-01"
"101","log_rec_dev","1.3339e+00","2.2446e-01"
"102","log_rec_dev","6.2792e-02","4.4950e-01"
"103","log_rec_dev","9.9622e-01","2.2972e-01"
"104","log_rec_dev","7.0492e-01","2.8554e-01"
"105","log_rec_dev","1.7755e+00","1.6523e-01"
"106","log_rec_dev","1.0620e-01","4.1448e-01"
"107","log_rec_dev","1.1755e+00","2.1424e-01"
"108","log_rec_dev","1.9002e+00","1.6194e-01"
"109","log_rec_dev","-5.1701e-02","4.9016e-01"
"110","log_rec_dev","1.4417e+00","1.9426e-01"
"111","log_rec_dev","1.6493e+00","1.8315e-01"
"112","log_rec_dev","8.8807e-01","2.8053e-01"
"113","log_rec_dev","1.2316e+00","2.2415e-01"
"114","log_rec_dev","1.1811e+00","2.2629e-01"
"115","log_rec_dev","4.2452e-01","3.3827e-01"
"116","log_rec_dev","5.1379e-01","3.0412e-01"
"117","log_rec_dev","6.0217e-01","2.9025e-01"
"118","log_rec_dev","8.0069e-01","2.6938e-01"
"119","log_rec_dev","9.3986e-01","2.7159e-01"
"120","log_rec_dev","1.4394e+00","2.1900e-01"
"121","log_rec_dev","1.2407e+00","2.5397e-01"
"122","log_rec_dev","1.0312e+00","2.9732e-01"
"123","log_rec_dev","1.8212e+00","2.1211e-01"
"124","log_rec_dev","5.3345e-01","4.3686e-01"
"125","log_rec_dev","9.5515e-01","3.4735e-01"
"126","log_rec_dev","8.3454e-01","4.1613e-01"
"127","log_rec_dev","7.9771e-01","4.6006e-01"
"128","log_rec_dev","-2.5949e-01","6.8949e-01"
"129","log_rec_dev","-1.6571e-01","7.1038e-01"
"130","log_rec_dev","-3.1980e-01","7.7231e-01"
"131","log_rec_dev","-1.7033e-01","8.2506e-01"
"132","log_rec_dev","-1.1501e-01","8.5126e-01"
"133","log_rec_dev","-8.2391e-06","8.9865e-01"
"134","log_q_srv1","-2.7886e-01","1.1329e-01"
"135","mF50","6.1117e-02","1.6751e-02"
"136","mF40","9.0291e-02","2.5670e-02"
"137","mF35","1.1083e-01","3.3224e-02"
"138","tot_biom","3.0718e+04","3.9135e+03"
"139","tot_biom","2.9881e+04","3.7818e+03"
"140","tot_biom","2.9544e+04","3.6836e+03"
"141","tot_biom","2.9882e+04","3.5725e+03"
"142","tot_biom","3.0526e+04","3.4611e+03"
"143","tot_biom","3.1632e+04","3.3264e+03"
"144","tot_biom","3.2763e+04","3.2512e+03"
"145","tot_biom","3.4164e+04","3.1765e+03"
"146","tot_biom","3.5813e+04","3.1494e+03"
"147","tot_biom","3.7899e+04","3.1463e+03"
"148","tot_biom","3.9685e+04","3.1553e+03"
"149","tot_biom","4.2551e+04","3.1847e+03"
"150","tot_biom","4.4291e+04","3.2024e+03"
"151","tot_biom","4.8350e+04","3.3184e+03"
"152","tot_biom","5.3093e+04","3.4963e+03"
"153","tot_biom","5.8133e+04","3.7215e+03"
"154","tot_biom","6.0118e+04","3.9450e+03"
"155","tot_biom","6.2768e+04","4.2063e+03"
"156","tot_biom","6.4991e+04","4.4517e+03"
"157","tot_biom","6.9114e+04","4.8212e+03"
"158","tot_biom","7.1800e+04","5.0923e+03"
"159","tot_biom","7.4786e+04","5.4075e+03"
"160","tot_biom","7.9077e+04","5.8609e+03"
"161","tot_biom","7.9637e+04","6.1559e+03"
"162","tot_biom","8.2210e+04","6.5505e+03"
"163","tot_biom","8.6293e+04","7.0099e+03"
"164","tot_biom","8.8955e+04","7.3973e+03"
"165","tot_biom","9.2000e+04","7.8057e+03"
"166","tot_biom","9.5104e+04","8.2092e+03"
"167","tot_biom","9.7343e+04","8.5232e+03"
"168","tot_biom","9.8595e+04","8.7842e+03"
"169","tot_biom","9.8256e+04","8.9912e+03"
"170","tot_biom","9.7300e+04","9.1757e+03"
"171","tot_biom","9.6782e+04","9.3559e+03"
"172","tot_biom","9.7051e+04","9.6298e+03"
"173","tot_biom","9.7987e+04","9.9259e+03"
"174","tot_biom","9.7432e+04","1.0214e+04"
"175","tot_biom","9.9738e+04","1.0739e+04"
"176","tot_biom","1.0067e+05","1.1116e+04"
"177","tot_biom","1.0196e+05","1.1520e+04"
"178","tot_biom","1.0233e+05","1.1883e+04"
"179","tot_biom","1.0298e+05","1.2215e+04"
"180","tot_biom","1.0211e+05","1.2404e+04"
"181","tot_biom","1.0083e+05","1.2507e+04"
"182","tot_biom","9.9009e+04","1.2510e+04"
"183","tot_biom","9.5842e+04","1.2431e+04"
"184","tot_biom","9.2559e+04","1.2287e+04"
"185","tot_biom","8.8135e+04","1.2100e+04"
"186","q_srv1","7.5665e-01","8.5717e-02"
"187","pred_rec","1.7190e+00","1.0620e+00"
"188","pred_rec","1.8214e+00","1.1304e+00"
"189","pred_rec","2.3256e+00","1.5292e+00"
"190","pred_rec","5.2211e+00","2.8655e+00"
"191","pred_rec","6.0549e+00","3.7498e+00"
"192","pred_rec","6.3860e+00","3.4529e+00"
"193","pred_rec","3.7985e+00","2.4908e+00"
"194","pred_rec","4.8555e+00","2.2897e+00"
"195","pred_rec","3.3036e+00","1.8746e+00"
"196","pred_rec","3.0937e+00","1.5171e+00"
"197","pred_rec","2.2704e+00","1.2762e+00"
"198","pred_rec","8.9781e+00","1.9716e+00"
"199","pred_rec","5.8406e+00","2.0302e+00"
"200","pred_rec","1.7846e+01","2.7294e+00"
"201","pred_rec","1.2478e+01","2.5211e+00"
"202","pred_rec","1.0773e+01","2.1117e+00"
"203","pred_rec","3.0219e+00","1.3445e+00"
"204","pred_rec","7.6854e+00","1.5606e+00"
"205","pred_rec","5.7432e+00","1.5566e+00"
"206","pred_rec","1.6754e+01","2.1689e+00"
"207","pred_rec","3.1560e+00","1.2913e+00"
"208","pred_rec","9.1947e+00","1.7542e+00"
"209","pred_rec","1.8978e+01","2.4378e+00"
"210","pred_rec","2.6950e+00","1.3188e+00"
"211","pred_rec","1.1999e+01","2.0141e+00"
"212","pred_rec","1.4767e+01","2.3271e+00"
"213","pred_rec","6.8976e+00","1.8367e+00"
"214","pred_rec","9.7252e+00","1.9925e+00"
"215","pred_rec","9.2462e+00","1.9200e+00"
"216","pred_rec","4.3389e+00","1.4262e+00"
"217","pred_rec","4.7440e+00","1.3851e+00"
"218","pred_rec","5.1824e+00","1.4422e+00"
"219","pred_rec","6.3204e+00","1.6215e+00"
"220","pred_rec","7.2642e+00","1.8838e+00"
"221","pred_rec","1.1971e+01","2.4358e+00"
"222","pred_rec","9.8142e+00","2.3678e+00"
"223","pred_rec","7.9589e+00","2.2952e+00"
"224","pred_rec","1.7536e+01","3.4215e+00"
"225","pred_rec","4.8382e+00","2.0966e+00"
"226","pred_rec","7.3761e+00","2.4856e+00"
"227","pred_rec","6.5380e+00","2.6761e+00"
"228","pred_rec","6.3016e+00","2.8510e+00"
"229","pred_rec","2.1894e+00","1.5243e+00"
"230","pred_rec","2.4046e+00","1.7242e+00"
"231","pred_rec","2.0612e+00","1.6133e+00"
"232","pred_rec","2.3935e+00","1.9988e+00"
"233","pred_rec","2.5297e+00","2.1788e+00"
"234","pred_rec","2.8380e+00","2.5765e+00"
"235","expl_rate","2.3520e-02","9.1399e-03"
"236","expl_rate","1.4545e-02","5.5136e-03"
"237","expl_rate","1.7180e-02","6.5231e-03"
"238","expl_rate","2.8778e-02","1.1160e-02"
"239","expl_rate","3.3893e-02","1.3317e-02"
"240","expl_rate","3.2339e-02","1.2724e-02"
"241","expl_rate","3.4280e-02","1.3647e-02"
"242","expl_rate","2.1591e-02","8.3199e-03"
"243","expl_rate","4.8741e-03","1.7931e-03"
"244","expl_rate","3.3429e-03","1.2208e-03"
"245","expl_rate","3.5403e-03","1.2876e-03"
"246","expl_rate","2.6211e-02","9.3870e-03"
"247","expl_rate","3.2737e-02","1.1631e-02"
"248","expl_rate","2.5262e-02","8.3020e-03"
"249","expl_rate","2.6434e-02","8.5618e-03"
"250","expl_rate","5.6577e-02","6.1768e-03"
"251","expl_rate","4.9811e-02","5.5152e-03"
"252","expl_rate","4.5198e-02","5.0875e-03"
"253","expl_rate","4.2686e-02","4.8765e-03"
"254","expl_rate","3.2748e-02","3.8325e-03"
"255","expl_rate","3.4057e-02","4.0095e-03"
"256","expl_rate","4.1034e-02","4.8372e-03"
"257","expl_rate","5.7237e-02","6.6688e-03"
"258","expl_rate","4.5894e-02","5.5016e-03"
"259","expl_rate","3.5770e-02","4.3402e-03"
"260","expl_rate","3.7630e-02","4.5985e-03"
"261","expl_rate","3.3733e-02","4.1761e-03"
"262","expl_rate","2.8962e-02","3.6415e-03"
"263","expl_rate","2.3768e-02","3.0486e-03"
"264","expl_rate","2.5464e-02","3.2856e-03"
"265","expl_rate","3.4372e-02","4.4344e-03"
"266","expl_rate","3.7132e-02","4.8464e-03"
"267","expl_rate","3.1613e-02","4.1847e-03"
"268","expl_rate","3.2416e-02","4.3369e-03"
"269","expl_rate","2.6208e-02","3.5569e-03"
"270","expl_rate","4.0089e-02","5.4204e-03"
"271","expl_rate","3.2198e-02","4.4858e-03"
"272","expl_rate","3.0478e-02","4.3093e-03"
"273","expl_rate","2.7590e-02","3.9800e-03"
"274","expl_rate","3.2256e-02","4.6916e-03"
"275","expl_rate","2.5583e-02","3.8014e-03"
"276","expl_rate","2.8049e-02","4.2068e-03"
"277","expl_rate","2.4565e-02","3.7779e-03"
"278","expl_rate","2.2102e-02","3.4453e-03"
"279","expl_rate","2.9801e-02","4.7185e-03"
"280","expl_rate","2.7259e-02","4.3803e-03"
"281","expl_rate","3.7600e-02","6.1433e-03"
"282","expl_rate","2.5048e-02","4.1813e-03"
"283","avg_rec","6.9006e+00","5.3098e-01"
"284","spbiom_trend","9.7570e-01","9.3136e-03"
"285","Depletion","2.9231e+00","4.8241e-01"
"286","spawn_biom","1.2797e+04","1.7580e+03"
"287","spawn_biom","1.2250e+04","1.6918e+03"
"288","spawn_biom","1.1909e+04","1.6355e+03"
"289","spawn_biom","1.1598e+04","1.5805e+03"
"290","spawn_biom","1.1192e+04","1.5200e+03"
"291","spawn_biom","1.0790e+04","1.4592e+03"
"292","spawn_biom","1.0507e+04","1.4045e+03"
"293","spawn_biom","1.0337e+04","1.3535e+03"
"294","spawn_biom","1.0565e+04","1.3230e+03"
"295","spawn_biom","1.1305e+04","1.3177e+03"
"296","spawn_biom","1.2302e+04","1.3269e+03"
"297","spawn_biom","1.3455e+04","1.3453e+03"
"298","spawn_biom","1.4216e+04","1.3440e+03"
"299","spawn_biom","1.4785e+04","1.3300e+03"
"300","spawn_biom","1.5393e+04","1.3207e+03"
"301","spawn_biom","1.5934e+04","1.3119e+03"
"302","spawn_biom","1.5768e+04","1.3324e+03"
"303","spawn_biom","1.6105e+04","1.3929e+03"
"304","spawn_biom","1.7027e+04","1.4980e+03"
"305","spawn_biom","1.8489e+04","1.6407e+03"
"306","spawn_biom","2.0460e+04","1.7995e+03"
"307","spawn_biom","2.2348e+04","1.9399e+03"
"308","spawn_biom","2.3728e+04","2.0524e+03"
"309","spawn_biom","2.4164e+04","2.1455e+03"
"310","spawn_biom","2.4859e+04","2.2597e+03"
"311","spawn_biom","2.5932e+04","2.3944e+03"
"312","spawn_biom","2.6976e+04","2.5402e+03"
"313","spawn_biom","2.8241e+04","2.6996e+03"
"314","spawn_biom","2.9756e+04","2.8725e+03"
"315","spawn_biom","3.1501e+04","3.0524e+03"
"316","spawn_biom","3.3116e+04","3.2293e+03"
"317","spawn_biom","3.4218e+04","3.3964e+03"
"318","spawn_biom","3.5017e+04","3.5490e+03"
"319","spawn_biom","3.5785e+04","3.6808e+03"
"320","spawn_biom","3.6173e+04","3.7848e+03"
"321","spawn_biom","3.6465e+04","3.8631e+03"
"322","spawn_biom","3.5799e+04","3.9136e+03"
"323","spawn_biom","3.5359e+04","3.9657e+03"
"324","spawn_biom","3.5002e+04","4.0310e+03"
"325","spawn_biom","3.4985e+04","4.1274e+03"
"326","spawn_biom","3.5036e+04","4.2590e+03"
"327","spawn_biom","3.5692e+04","4.4281e+03"
"328","spawn_biom","3.6408e+04","4.6190e+03"
"329","spawn_biom","3.7324e+04","4.8176e+03"
"330","spawn_biom","3.8205e+04","4.9985e+03"
"331","spawn_biom","3.8412e+04","5.1408e+03"
"332","spawn_biom","3.8339e+04","5.2358e+03"
"333","spawn_biom","3.7407e+04","5.2806e+03"
"334","LMR","1.0431e+00","1.2895e-01"
"335","cigar","8.9865e-01","9.9121e-02"
"336","q2","7.5665e-01","8.5717e-02"
"337","nattymort","1.0431e+00","1.2895e-01"
"338","F50","6.1117e-02","1.6751e-02"
"339","F40","9.0291e-02","2.5670e-02"
"340","F35","1.1083e-01","3.3224e-02"
"341","ABC","6.3378e+03","1.9453e+03"
"342","B40","2.3787e+04","4.6017e+03"
"343","spawn_biom_proj","3.5972e+04","5.1763e+03"
"344","spawn_biom_proj","3.4425e+04","4.9338e+03"
"345","spawn_biom_proj","3.2725e+04","4.6992e+03"
"346","spawn_biom_proj","3.1043e+04","4.4825e+03"
"347","spawn_biom_proj","2.9543e+04","4.2890e+03"
"348","spawn_biom_proj","2.8378e+04","4.1185e+03"
"349","spawn_biom_proj","2.7643e+04","3.9633e+03"
"350","spawn_biom_proj","2.7345e+04","3.8146e+03"
"351","spawn_biom_proj","2.7406e+04","3.6711e+03"
"352","spawn_biom_proj","2.7704e+04","3.5388e+03"
"353","spawn_biom_proj","2.8134e+04","3.4251e+03"
"354","spawn_biom_proj","2.8624e+04","3.3356e+03"
"355","spawn_biom_proj","2.9130e+04","3.2721e+03"
"356","spawn_biom_proj","2.9625e+04","3.2336e+03"
