"year","SSB"
1977,12797
1978,12250
1979,11908
1980,11598
1981,11192
1982,10790
1983,10507
1984,10338
1985,10565
1986,11305
1987,12302
1988,13455
1989,14216
1990,14785
1991,15393
1992,15934
1993,15768
1994,16105
1995,17027
1996,18489
1997,20460
1998,22348
1999,23728
2000,24164
2001,24859
2002,25932
2003,26976
2004,28241
2005,29756
2006,31501
2007,33116
2008,34218
2009,35016
2010,35785
2011,36173
2012,36466
2013,35799
2014,35359
2015,35002
2016,34985
2017,35036
2018,35692
2019,36408
2020,37324
2021,38205
2022,38412
2023,38339
2024,37407
