year,maxf,authf,half_maxf,avg5f,nof,overf,appoverf
2024,2198.88,2198.88,2198.88,2198.88,2198.88,2198.88,2198.88
2025,6338.47,3096,3237.76,2581.2400000000002,0,7705.14,6338.47
2026,5756.57,2812,3070.17,2469.54,0,6861.93,5756.57
2027,5192.62,5687.14,2889.13,2344.36,0,6072.110000000001,6311.81
2028,4682.45,5114.93,2713.71,2220.7599999999998,0,5375.84,5581.29
2029,4248.47,4624.27,2557.77,2109.94,0,4635.86,4968.969999999999
2030,3794.4900000000002,4240.86,2437.17,2024.8300000000002,0,3890.53,4127.91
2031,3432.4,3946.6899999999996,2371.19,1981.31,0,3506.8100000000004,3680.31
2032,3285.9500000000003,3682.01,2363.46,1982.47,0,3368.8799999999997,3501.1800000000003
2033,3289.99,3600.97,2383.12,2005.1899999999998,0,3388.4500000000003,3491.24
2034,3377.44,3623.84,2429.3900000000003,2050.6600000000003,0,3506.68,3585.78
2035,3485.54,3678.88,2479.34,2094.8199999999997,0,3627.0600000000004,3689.87
2036,3589.09,3744.0699999999997,2523.55,2138.27,0,3746.18,3791.12
2037,3710.17,3835.28,2574.74,2182.9900000000002,0,3874.98,3908.51
