"year","survB_pred","survB_obs"
1990,24723,12987.3
1993,27070.8,35392.6
1996,32951.8,35191
1999,40388.8,33911.9
2001,42131.6,40392.8
2003,45796.5,48716.3
2005,50371.7,73180.2
2007,55488.1,50734.5
2009,57844.1,40090.7
2011,58736.2,41442
2013,57654.4,59986
2015,56889,59471.2
2017,57761.7,61716
2019,60134.6,87687.8
2021,62217.1,69870.1
2023,61268.3,58538.2
