year,maxf,authf,half_maxf,avg5f,nof,overf,appoverf
2024,36798.299999999996,36798.299999999996,36798.299999999996,36798.299999999996,36798.299999999996,36798.299999999996,36798.299999999996
2025,35709.4,35982,35970.3,36024.299999999996,36233,35591.4,35709.4
2026,32705.5,34477.9,34389.8,34748.1,36163,31967.600000000002,32705.5
2027,29785.1,32608.3,32662.199999999997,33290.700000000004,35827.8,28564.6,29686.5
2028,27121.9,29608.8,30959.6,31820,35371.1,25545.4,26514.1
2029,24864.3,27036.899999999998,29448.3,30502.600000000002,34951.1,23053.5,23871
2030,23144.7,25021.2,28282.699999999997,29496.7,34731.6,21258.3,21893.7
2031,22066.600000000002,23627.300000000003,27559.899999999998,28905.4,34832.2,20228.899999999998,20719.899999999998
2032,21586.7,22842.7,27285,28742.4,35294,19809.100000000002,20190
2033,21527.100000000002,22534.7,27372.6,28931.7,36073.9,19800.3,20095.1
2034,21706.9,22514.3,27695.5,29351.9,37073.2,20012.6,20239.5
2035,21994.3,22640.2,28143.2,29895,38192.799999999996,20312,20485.399999999998
2036,22312.4,22828.7,28643.4,30488.9,39361.9,20624,20755.5
2037,22623.5,23036,29155,31092.1,40536.700000000004,20914.7,21014.1
