"year","biomass","se","lci","uci","pred"
1990,13032,2262,8598.48,17465.52,20522.6
1993,36132,5914,24540.56,47723.44,23373.6
1996,36044,6269,23756.76,48331.24,29272.5
1999,34346,6475,21655,47037,36355.9
2001,42086,8875,24691,59481,38152.8
2003,49970,8413,33480.52,66459.48,41751.3
2005,75852,11492,53327.68,98376.32,46184.8
2007,52225,8373,35813.92,68636.08,51058.3
2009,42053,6991,28350.64,55755.36,53283
2011,43388,8143,27427.72,59348.28,54074.5
2013,62049,11280,39940.2,84157.8,53295.2
2015,60796,10080,41039.2,80552.8,53480.7
2017,63808,11281,41697.24,85918.76,55927.4
2019,91897,14553,63373.12,120420.88,59896.8
