"YEAR","FMP_AREA","FMP_GEAR","SPECIES","LENGTH","FREQUENCY","PERFORMANCE","HAUL_JOIN","PORT_JOIN"
1990,"GOA","TRW",330,18,10,1,"51239",NA
1990,"GOA","TRW",330,19,10,1,"51239",NA
1990,"GOA","TRW",330,21,8,1,"51239",NA
1990,"GOA","TRW",330,24,8,1,"51239",NA
1990,"GOA","TRW",330,25,6,1,"51239",NA
1990,"GOA","TRW",330,27,3,1,"51239",NA
1990,"GOA","TRW",330,30,1,1,"51239",NA
1990,"GOA","TRW",330,31,2,1,"51239",NA
1990,"GOA","TRW",330,13,6,1,"51239",NA
1990,"GOA","TRW",330,16,6,1,"51250",NA
1990,"GOA","TRW",330,17,4,1,"51250",NA
1990,"GOA","TRW",330,18,6,1,"51250",NA
1990,"GOA","TRW",330,20,8,1,"51250",NA
1990,"GOA","TRW",330,22,8,1,"51250",NA
1990,"GOA","TRW",330,29,5,1,"51250",NA
1990,"GOA","TRW",330,30,4,1,"51250",NA
1990,"GOA","TRW",330,32,6,1,"51250",NA
1990,"GOA","TRW",330,34,2,1,"51250",NA
1990,"GOA","TRW",330,35,2,1,"51250",NA
1990,"GOA","TRW",330,15,5,1,"51250",NA
1990,"GOA","TRW",330,16,5,1,"51250",NA
1990,"GOA","TRW",330,18,6,1,"51250",NA
1990,"GOA","TRW",330,19,7,1,"51250",NA
1990,"GOA","TRW",330,21,10,1,"51250",NA
1990,"GOA","TRW",330,22,10,1,"51250",NA
1990,"GOA","TRW",330,25,12,1,"51250",NA
1990,"GOA","TRW",330,26,15,1,"51250",NA
1990,"GOA","TRW",330,27,8,1,"51250",NA
1990,"GOA","TRW",330,14,7,1,"51239",NA
1990,"GOA","TRW",330,17,5,1,"51239",NA
1990,"GOA","TRW",330,18,8,1,"51239",NA
1990,"GOA","TRW",330,19,10,1,"51239",NA
1990,"GOA","TRW",330,20,9,1,"51239",NA
1990,"GOA","TRW",330,22,12,1,"51239",NA
1990,"GOA","TRW",330,25,12,1,"51239",NA
1990,"GOA","TRW",330,28,6,1,"51239",NA
1990,"GOA","TRW",330,31,4,1,"51239",NA
1990,"GOA","TRW",330,32,4,1,"51239",NA
1990,"GOA","TRW",330,34,3,1,"51239",NA
1990,"GOA","TRW",330,36,1,1,"51239",NA
1990,"GOA","TRW",330,14,6,1,"51250",NA
1990,"GOA","TRW",330,15,5,1,"51250",NA
1990,"GOA","TRW",330,13,8,4,"51258",NA
1990,"GOA","TRW",330,16,7,4,"51258",NA
1990,"GOA","TRW",330,17,7,4,"51258",NA
1990,"GOA","TRW",330,18,3,4,"51258",NA
1990,"GOA","TRW",330,21,4,4,"51258",NA
1990,"GOA","TRW",330,28,6,1,"51250",NA
