"YEAR","HAUL_DATE","SPECIES","FMP_AREA","GEAR_TYPE","EXTRAPOLATED_WEIGHT"
2019,2019-02-23,330,"GOA",8,5
2019,2019-01-18,330,"GOA",6,18
2019,2019-03-19,330,"GOA",8,16.22
2019,2019-03-19,330,"GOA",8,24.25
2019,2019-06-09,330,"GOA",8,4.67
2019,2019-06-09,330,"GOA",8,14.02
2019,2019-05-06,330,"GOA",8,36.04
2019,2019-05-06,330,"GOA",8,128.4
2019,2019-05-07,330,"GOA",8,21.63
2019,2019-08-06,330,"GOA",1,1350.55
2019,2019-08-06,330,"GOA",1,1878.77
2019,2019-08-06,330,"GOA",1,6196.12
2019,2019-08-07,330,"GOA",1,59.68
2019,2019-08-07,330,"GOA",1,2538.07
2019,2019-08-07,330,"GOA",1,3116.57
2019,2019-08-07,330,"GOA",1,3224.58
2019,2019-08-07,330,"GOA",1,5099.09
2019,2019-08-07,330,"GOA",1,6472.93
2019,2019-08-03,330,"GOA",1,296.77
2019,2019-08-03,330,"GOA",1,901.09
2019,2019-08-03,330,"GOA",1,1095.36
2019,2019-08-03,330,"GOA",1,80.58
2019,2019-08-03,330,"GOA",1,318.8
2019,2019-08-04,330,"GOA",1,1271.1
2019,2019-08-04,330,"GOA",1,1927.15
2019,2019-08-04,330,"GOA",1,2582.56
2019,2019-08-04,330,"GOA",1,436.94
2019,2019-08-05,330,"GOA",1,5416.13
2019,2019-08-05,330,"GOA",1,6317.89
2019,2019-08-05,330,"GOA",1,6386.19
2019,2019-08-05,330,"GOA",1,5174.77
2019,2019-08-06,330,"GOA",1,189.28
2019,2019-08-06,330,"GOA",1,3478.08
2019,2019-08-08,330,"GOA",1,4674.64
2019,2019-08-08,330,"GOA",1,1865.38
2019,2019-08-09,330,"GOA",1,348.56
2019,2019-08-09,330,"GOA",1,903.62
2019,2019-08-09,330,"GOA",1,857.09
2019,2019-08-09,330,"GOA",1,1682.79
2019,2019-08-09,330,"GOA",1,999.81
2019,2019-08-10,330,"GOA",1,75.82
2019,2019-08-10,330,"GOA",1,3003.48
2019,2019-08-10,330,"GOA",1,2131.48
2019,2019-08-10,330,"GOA",1,404.88
2019,2019-08-10,330,"GOA",1,1157.56
2019,2019-05-30,330,"GOA",1,130.13
2019,2019-05-30,330,"GOA",1,616.38
2019,2019-05-30,330,"GOA",1,139.16
2019,2019-06-01,330,"GOA",2,905.45
2019,2019-06-02,330,"GOA",2,553.8
2019,2019-06-02,330,"GOA",2,122.79
2019,2019-09-02,330,"GOA",1,395.27
2019,2019-09-02,330,"GOA",1,543.43
2019,2019-09-02,330,"GOA",1,1501.02
2019,2019-09-03,330,"GOA",1,320.63
2019,2019-09-03,330,"GOA",1,219.89
2019,2019-09-03,330,"GOA",1,162.44
2019,2019-09-03,330,"GOA",1,426.39
2019,2019-09-04,330,"GOA",1,121.59
2019,2019-09-04,330,"GOA",1,141.08
2019,2019-09-04,330,"GOA",1,98.09
2019,2019-09-04,330,"GOA",1,154.22
2019,2019-09-04,330,"GOA",1,1281.84
2019,2019-09-05,330,"GOA",1,92.99
2019,2019-09-05,330,"GOA",1,1085.23
2019,2019-09-06,330,"GOA",1,659.36
2019,2019-09-06,330,"GOA",1,682.22
2019,2019-09-06,330,"GOA",1,1059.03
2019,2019-09-06,330,"GOA",1,707.98
2019,2019-09-07,330,"GOA",1,897.09
2019,2019-09-07,330,"GOA",1,513.68
2019,2019-09-07,330,"GOA",1,876.41
2019,2019-09-07,330,"GOA",1,1039.07
2019,2019-09-08,330,"GOA",1,190.56
2019,2019-09-08,330,"GOA",1,432.76
