"","obs","pred"
"1",388,692.718
"2",162,417.808
"3",224,484
"4",597,807.148
"5",845,961.16
"6",853,946.341
"7",1017,1032.92
"8",510,681.283
"9",34,161.739
"10",17,117.193
"11",19,130.532
"12",1067,1036.89
"13",1707,1367.15
"14",1612,1146.05
"15",2187.16,1324.8
"16",3531.91,3251.96
"17",3181.94,2963.11
"18",2979.62,2810.42
"19",2881.88,2751.27
"20",2290.33,2257.31
"21",2466.62,2440.82
"22",3109.15,3064.71
"23",4658.44,4542.47
"24",3728.36,3666.27
"25",3006.01,2958.75
"26",3320.8,3265.12
"27",3055.77,3021.67
"28",2688.43,2679.98
"29",2236.41,2264.5
"30",2452.87,2482.76
"31",3384.59,3404.12
"32",3644.08,3663.25
"33",3074.69,3094.79
"34",3141.98,3156.27
"35",2540.36,2561.63
"36",4010.49,3961.95
"37",3158.25,3166.06
"38",3062.06,3066.72
"39",2779.84,2803.85
"40",3322.13,3321.14
"41",2621.1,2639.1
"42",2908.58,2915.28
