"year","biomass","se","lci","uci","pred"
1990,13032,2262,8598.48,17465.52,19742.9
1993,36132,5914,24540.56,47723.44,23253.2
1996,36044,6269,23756.76,48331.24,29342
1999,34346,6475,21655,47037,35246.7
2001,42086,8875,24691,59481,37357.7
2003,49970,8413,33480.52,66459.48,41076.7
2005,75852,11492,53327.68,98376.32,45041.2
2007,52225,8373,35813.92,68636.08,48524.8
2009,42053,6991,28350.64,55755.36,48750.9
2011,43388,8143,27427.72,59348.28,46961.1
