"year","biomass","se","lci","uci","pred"
1984,31068,7147,17059.88,45076.12,25260.9
1987,94212,29391,36605.64,151818.36,33675.2
1990,26895,8635,9970.4,43819.6,39731.3
1993,57746,16835,24749.4,90742.6,41623.5
1996,74480,32851,10092.04,138867.96,48099.1
1999,49628,19194,12007.76,87248.24,54853.7
2001,40665,11628,17874.12,63455.88,53860.3
2003,70856,34352,3526.08,138185.92,55847.9
2005,170513,51658,69263.32,271762.68,58911.1
2007,73074,34498,5457.92,140690.08,62215.4
2009,72123,24687,23736.48,120509.52,60529.6
2011,83407,36806,11267.24,155546.76,56952.8
2013,99170,35767,29066.68,169273.32,51166.6
2015,32790,7870,17364.8,48215.2,46349.3
2017,51270,12979,25831.16,76708.84,43614.5
2019,88365,19363,50413.52,126316.48,42419.3
