"age","fish","srv1"
4,0.000465677,0.0606154
5,0.00154967,0.107337
6,0.00514401,0.183053
7,0.0169337,0.294556
8,0.0542704,0.437598
9,0.160491,0.591828
10,0.389078,0.729872
11,0.679659,0.834301
12,0.876056,0.903687
13,0.959262,0.945903
14,0.987413,0.970226
15,0.996188,0.983801
16,0.998853,0.991243
17,0.999655,0.995284
18,0.999897,0.997466
19,0.999969,0.998641
20,0.999991,0.999273
21,0.999997,0.999612
22,0.999999,0.999794
23,1,0.999892
24,1,0.999944
25,1,0.999972
26,1,0.999988
27,1,0.999996
28,1,1
