"","obs","pred"
"1",388,668.791
"2",162,403.578
"3",224,470.773
"4",597,794.364
"5",845,954.368
"6",853,944.79
"7",1017,1037.77
"8",510,684.807
"9",34,162.681
"10",17,118.324
"11",19,131.83
"12",1067,1054.11
"13",1707,1383.07
"14",1612,1125.86
"15",2187.16,1295.45
"16",3531.91,3245.13
"17",3181.94,2954.31
"18",2979.62,2803.64
"19",2881.88,2746.11
"20",2290.33,2251.86
"21",2466.62,2435.56
"22",3109.15,3058.65
"23",4658.44,4532.28
"24",3728.36,3660.07
"25",3006.01,2952.36
"26",3320.8,3260.37
"27",3055.77,3017.48
"28",2688.43,2677.15
"29",2236.41,2260.8
"30",2452.87,2479.1
"31",3384.59,3397.96
"32",3644.08,3658.7
"33",3074.69,3088.42
"34",3141.98,3151.2
"35",2540.36,2556.2
"36",4010.49,3954.86
"37",3158.25,3159.63
"38",3062.06,3061.79
"39",2779.84,2798.95
"40",3322.13,3317.53
"41",2621.1,2639.21
"42",2908.58,2913.38
"43",2489.23,2517.71
"44",2198.19,2237.11
"45",2928.45,2956.79
"46",2553.16,2589.9
