"year","biomass","se","lci","uci","pred"
1990,13032,2262,8598.48,17465.52,20389.6
1993,36132,5914,24540.56,47723.44,23294.7
1996,36044,6269,23756.76,48331.24,29105.4
1999,34346,6475,21655,47037,36384.7
2001,42086,8875,24691,59481,38380.2
2003,49970,8413,33480.52,66459.48,42093.5
2005,75852,11492,53327.68,98376.32,46622.4
2007,52225,8373,35813.92,68636.08,51590.5
2009,42053,6991,28350.64,55755.36,54056.2
2011,43388,8143,27427.72,59348.28,55256.7
2013,62049,11280,39940.2,84157.8,54851.1
2015,60796,10080,41039.2,80552.8,55029.1
2017,63808,11281,41697.24,85918.76,56903.7
2019,91897,14553,63373.12,120420.88,59982.3
2021,71717,12718,46789.72,96644.28,61987.2
