"","obs","pred"
"1",388,698.158
"2",162,420.394
"3",224,487.3
"4",597,815.3
"5",845,972.88
"6",853,957.997
"7",1017,1047.15
"8",510,687.182
"9",34,161.953
"10",17,116.988
"11",19,129.68
"12",1067,1035.85
"13",1707,1362.43
"14",1612,1114.2
"15",2187.16,1286.7
"16",3531.91,3243.75
"17",3181.94,2954.29
"18",2979.62,2804.43
"19",2881.88,2747.42
"20",2290.33,2253.57
"21",2466.62,2437.44
"22",3109.15,3061.34
"23",4658.44,4535.85
"24",3728.36,3662.07
"25",3006.01,2951.98
"26",3320.8,3260.05
"27",3055.77,3016.99
"28",2688.43,2676.86
"29",2236.41,2260.92
"30",2452.87,2479.36
"31",3384.59,3398.23
"32",3644.08,3659.13
"33",3074.69,3087.49
"34",3141.98,3150.1
"35",2540.36,2554.62
"36",4010.49,3951.51
"37",3158.25,3157.78
"38",3062.06,3059.9
"39",2779.84,2797.61
"40",3322.13,3315.59
"41",2621.1,2637.58
"42",2908.58,2911.27
"43",2489.23,2516.19
"44",2198.19,2235.83
"45",2928.45,2955.57
"46",2432.81,2471.31
